RecSN,Time_Last_Up,Solar_Volt,Batt_Volt,Tilt,#_Beacon_Dets,#_Unique_Dets,#_Other_Beacons
187027,1.0033646349774468,19.8,13.4,35,57,2,0
NA,NA,NA,NA,NA,NA,NA,NA
